x,y,z,pressure,x-coordinate,y-coordinate,z-coordinate
0.18251519,0.014050936,0.131,63724.281,0.1825152,0.014050935,0.131
0.17902812,0.013000302,0.131,64929.312,0.17902814,0.013000302,0.131
0.25225648,0.051889684,0.131,36510.02,0.25225648,0.051889688,0.131
0.2487694,0.049960859,0.131,37590.43,0.2487694,0.049960863,0.131
0.24528234,0.048032038,0.131,38711.094,0.24528234,0.048032038,0.131
0.24179527,0.046103209,0.131,39868.824,0.24179527,0.046103213,0.131
0.23830822,0.044174388,0.131,41060.707,0.23830822,0.044174388,0.131
0.23482114,0.042245559,0.131,42283.848,0.23482116,0.042245563,0.131
0.23133408,0.040316738,0.131,43538.133,0.23133409,0.040316734,0.131
0.22784702,0.03838791,0.131,44825.035,0.22784702,0.03838791,0.131
0.22435996,0.036459088,0.131,46145.711,0.22435996,0.036459085,0.131
0.22087291,0.03453026,0.131,47501.383,0.22087289,0.03453026,0.131
0.21738583,0.032601438,0.131,48892.336,0.21738583,0.032601435,0.131
0.21389876,0.030672612,0.131,50317.004,0.21389876,0.030672612,0.131
0.21041171,0.028743785,0.131,51773.734,0.21041171,0.028743785,0.131
0.20692465,0.02681496,0.131,53261.516,0.20692465,0.02681496,0.131
0.20343757,0.024886135,0.131,54779.652,0.20343758,0.024886135,0.131
